2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:43 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:43 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:43 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:44 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:44 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:44 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:44 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:44 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:45 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:45 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:45 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:45 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:45 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:45 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:47 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:47 | INFO     | volunteer_location_stream      | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:48 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:09:48 | INFO     | broadcast_location_to_politician | 
